programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
html,"CSS, HTML, Javascript",110000.0,150000.0,"['css', 'html', 'javascript']"
javascript,"CSS, HTML, Javascript",110000.0,150000.0,"['css', 'html', 'javascript']"
java,Java,58000.0,75000.0,['java']
sql,"SQL, VBA",47000.0,57000.0,"['sql', 'vba']"
vba,"SQL, VBA",47000.0,57000.0,"['sql', 'vba']"
bash/shell,Bash/Shell,98210.0,134000.0,['bash/shell']
sql,SQL,115000.0,143000.0,['sql']
css,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
html,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
java,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
javascript,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
r,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
sql,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
typescript,"CSS, HTML, Java, Javascript, R, SQL, TypeScript",82000.0,104000.0,"['css', 'html', 'java', 'javascript', 'r', 'sql', 'typescript']"
go,"Go, Javascript, Python",78000.0,11000.0,"['go', 'javascript', 'python']"
javascript,"Go, Javascript, Python",78000.0,11000.0,"['go', 'javascript', 'python']"
python,"Go, Javascript, Python",78000.0,11000.0,"['go', 'javascript', 'python']"
bash/shell,"Bash/Shell, Python",108000.0,135000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",108000.0,135000.0,"['bash/shell', 'python']"
c,"C, COBOL",100000.0,150000.0,"['c', 'cobol']"
cobol,"C, COBOL",100000.0,150000.0,"['c', 'cobol']"
