programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
html,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
javascript,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
python,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
bash/shell,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
c,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
css,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
html,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
java,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
javascript,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
php,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
python,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
sql,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
css,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
html,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
javascript,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
sql,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
typescript,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
java,"Java, Javascript",44000.0,54000.0,"['java', 'javascript']"
javascript,"Java, Javascript",44000.0,54000.0,"['java', 'javascript']"
javascript,Javascript,62400.0,75000.0,['javascript']
java,"Java, Javascript",37500.0,45000.0,"['java', 'javascript']"
javascript,"Java, Javascript",37500.0,45000.0,"['java', 'javascript']"
javascript,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
php,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
typescript,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
bash/shell,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
c,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
c#,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
python,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
r,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
html,"HTML, Javascript, Python",36800.0,36800.0,"['html', 'javascript', 'python']"
javascript,"HTML, Javascript, Python",36800.0,36800.0,"['html', 'javascript', 'python']"
python,"HTML, Javascript, Python",36800.0,36800.0,"['html', 'javascript', 'python']"
bash/shell,"Bash/Shell, Python",94621.0,93735.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",94621.0,93735.0,"['bash/shell', 'python']"
css,"CSS, HTML, Javascript, PHP, SQL",63000.0,70000.0,"['css', 'html', 'javascript', 'php', 'sql']"
html,"CSS, HTML, Javascript, PHP, SQL",63000.0,70000.0,"['css', 'html', 'javascript', 'php', 'sql']"
javascript,"CSS, HTML, Javascript, PHP, SQL",63000.0,70000.0,"['css', 'html', 'javascript', 'php', 'sql']"
php,"CSS, HTML, Javascript, PHP, SQL",63000.0,70000.0,"['css', 'html', 'javascript', 'php', 'sql']"
sql,"CSS, HTML, Javascript, PHP, SQL",63000.0,70000.0,"['css', 'html', 'javascript', 'php', 'sql']"
html,"HTML, Javascript, PHP, SQL",92000.0,102000.0,"['html', 'javascript', 'php', 'sql']"
javascript,"HTML, Javascript, PHP, SQL",92000.0,102000.0,"['html', 'javascript', 'php', 'sql']"
php,"HTML, Javascript, PHP, SQL",92000.0,102000.0,"['html', 'javascript', 'php', 'sql']"
sql,"HTML, Javascript, PHP, SQL",92000.0,102000.0,"['html', 'javascript', 'php', 'sql']"
net,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
c#,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
html,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
java,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
javascript,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
php,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
sql,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
typescript,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
vba,".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",80000.0,102000.0,"['net', 'c#', 'delphi', 'html', 'java', 'javascript', 'php', 'sql', 'typescript', 'vba']"
bash/shell,"Bash/Shell, PHP",75000.0,100000.0,"['bash/shell', 'php']"
php,"Bash/Shell, PHP",75000.0,100000.0,"['bash/shell', 'php']"
net,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
c#,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
css,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
html,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
javascript,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
sql,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
typescript,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",100000.0,140000.0,"['net', 'c#', 'css', 'html', 'javascript', 'sql', 'typescript']"
html,"HTML, Java, Javascript",70000.0,88000.0,"['html', 'java', 'javascript']"
java,"HTML, Java, Javascript",70000.0,88000.0,"['html', 'java', 'javascript']"
javascript,"HTML, Java, Javascript",70000.0,88000.0,"['html', 'java', 'javascript']"
python,Python,93000.0,125000.0,['python']
python,"Python, Scala, SQL",68000.0,75000.0,"['python', 'scala', 'sql']"
scala,"Python, Scala, SQL",68000.0,75000.0,"['python', 'scala', 'sql']"
sql,"Python, Scala, SQL",68000.0,75000.0,"['python', 'scala', 'sql']"
bash/shell,"Bash/Shell, C++, Java, Python, SQL",80000.0,87000.0,"['bash/shell', 'c++', 'java', 'python', 'sql']"
c++,"Bash/Shell, C++, Java, Python, SQL",80000.0,87000.0,"['bash/shell', 'c++', 'java', 'python', 'sql']"
java,"Bash/Shell, C++, Java, Python, SQL",80000.0,87000.0,"['bash/shell', 'c++', 'java', 'python', 'sql']"
python,"Bash/Shell, C++, Java, Python, SQL",80000.0,87000.0,"['bash/shell', 'c++', 'java', 'python', 'sql']"
sql,"Bash/Shell, C++, Java, Python, SQL",80000.0,87000.0,"['bash/shell', 'c++', 'java', 'python', 'sql']"
bash/shell,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
c#,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
css,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
html,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
java,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
javascript,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
php,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
sql,"Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",47950.0,36874.0,"['bash/shell', 'c#', 'css', 'html', 'java', 'javascript', 'php', 'sql', 'vb', '60']"
net,".NET, C#, TypeScript",84000.0,100000.0,"['net', 'c#', 'typescript']"
c#,".NET, C#, TypeScript",84000.0,100000.0,"['net', 'c#', 'typescript']"
typescript,".NET, C#, TypeScript",84000.0,100000.0,"['net', 'c#', 'typescript']"
bash/shell,"Bash/Shell, Python",66000.0,80000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",66000.0,80000.0,"['bash/shell', 'python']"
java,"Java, Javascript, Objective-C, TypeScript",200000.0,260000.0,"['java', 'javascript', 'objectivec', 'typescript']"
javascript,"Java, Javascript, Objective-C, TypeScript",200000.0,260000.0,"['java', 'javascript', 'objectivec', 'typescript']"
typescript,"Java, Javascript, Objective-C, TypeScript",200000.0,260000.0,"['java', 'javascript', 'objectivec', 'typescript']"
css,"CSS, HTML, Javascript",31000.0,36000.0,"['css', 'html', 'javascript']"
html,"CSS, HTML, Javascript",31000.0,36000.0,"['css', 'html', 'javascript']"
javascript,"CSS, HTML, Javascript",31000.0,36000.0,"['css', 'html', 'javascript']"
abap,"ABAP, Javascript, PHP, Python, SQL",137000.0,160000.0,"['abap', 'javascript', 'php', 'python', 'sql']"
javascript,"ABAP, Javascript, PHP, Python, SQL",137000.0,160000.0,"['abap', 'javascript', 'php', 'python', 'sql']"
php,"ABAP, Javascript, PHP, Python, SQL",137000.0,160000.0,"['abap', 'javascript', 'php', 'python', 'sql']"
python,"ABAP, Javascript, PHP, Python, SQL",137000.0,160000.0,"['abap', 'javascript', 'php', 'python', 'sql']"
sql,"ABAP, Javascript, PHP, Python, SQL",137000.0,160000.0,"['abap', 'javascript', 'php', 'python', 'sql']"
javascript,Javascript,45000.0,56000.0,['javascript']
net,".NET, C#, PHP, SQL",51000.0,63300.0,"['net', 'c#', 'php', 'sql']"
c#,".NET, C#, PHP, SQL",51000.0,63300.0,"['net', 'c#', 'php', 'sql']"
php,".NET, C#, PHP, SQL",51000.0,63300.0,"['net', 'c#', 'php', 'sql']"
sql,".NET, C#, PHP, SQL",51000.0,63300.0,"['net', 'c#', 'php', 'sql']"
bash/shell,"Bash/Shell, Python",168000.0,268000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",168000.0,268000.0,"['bash/shell', 'python']"
css,"CSS, HTML, Javascript",31955.0,38500.0,"['css', 'html', 'javascript']"
html,"CSS, HTML, Javascript",31955.0,38500.0,"['css', 'html', 'javascript']"
javascript,"CSS, HTML, Javascript",31955.0,38500.0,"['css', 'html', 'javascript']"
css,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
html,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
java,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
javascript,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
python,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
typescript,"CSS, HTML, Java, Javascript, Python, TypeScript",90000.0,100000.0,"['css', 'html', 'java', 'javascript', 'python', 'typescript']"
bash/shell,"Bash/Shell, Python",132000.0,196000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",132000.0,196000.0,"['bash/shell', 'python']"
c++,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
css,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
html,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
java,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
javascript,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
python,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
sql,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
typescript,"C++, CSS, HTML, Java, Javascript, Python, SQL, TypeScript",56000.0,67000.0,"['c++', 'css', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']"
java,"Java, Javascript",122000.0,174000.0,"['java', 'javascript']"
javascript,"Java, Javascript",122000.0,174000.0,"['java', 'javascript']"
bash/shell,"Bash/Shell, CSS, HTML, Javascript, PHP",50138.0,60407.0,"['bash/shell', 'css', 'html', 'javascript', 'php']"
css,"Bash/Shell, CSS, HTML, Javascript, PHP",50138.0,60407.0,"['bash/shell', 'css', 'html', 'javascript', 'php']"
html,"Bash/Shell, CSS, HTML, Javascript, PHP",50138.0,60407.0,"['bash/shell', 'css', 'html', 'javascript', 'php']"
javascript,"Bash/Shell, CSS, HTML, Javascript, PHP",50138.0,60407.0,"['bash/shell', 'css', 'html', 'javascript', 'php']"
php,"Bash/Shell, CSS, HTML, Javascript, PHP",50138.0,60407.0,"['bash/shell', 'css', 'html', 'javascript', 'php']"
go,Go,130000.0,180000.0,['go']
bash/shell,Bash/Shell,126500.0,149612.0,['bash/shell']
bash/shell,Bash/Shell,64500.0,69500.0,['bash/shell']
net,".NET, C#, CSS, HTML, Javascript",38943.0,48500.0,"['net', 'c#', 'css', 'html', 'javascript']"
c#,".NET, C#, CSS, HTML, Javascript",38943.0,48500.0,"['net', 'c#', 'css', 'html', 'javascript']"
css,".NET, C#, CSS, HTML, Javascript",38943.0,48500.0,"['net', 'c#', 'css', 'html', 'javascript']"
html,".NET, C#, CSS, HTML, Javascript",38943.0,48500.0,"['net', 'c#', 'css', 'html', 'javascript']"
javascript,".NET, C#, CSS, HTML, Javascript",38943.0,48500.0,"['net', 'c#', 'css', 'html', 'javascript']"
go,"Go, Java",168000.0,235500.0,"['go', 'java']"
java,"Go, Java",168000.0,235500.0,"['go', 'java']"
css,"CSS, HTML, Java, Javascript",43824.0,48800.0,"['css', 'html', 'java', 'javascript']"
html,"CSS, HTML, Java, Javascript",43824.0,48800.0,"['css', 'html', 'java', 'javascript']"
java,"CSS, HTML, Java, Javascript",43824.0,48800.0,"['css', 'html', 'java', 'javascript']"
javascript,"CSS, HTML, Java, Javascript",43824.0,48800.0,"['css', 'html', 'java', 'javascript']"
bash/shell,"Bash/Shell, Python",90000.0,105000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",90000.0,105000.0,"['bash/shell', 'python']"
net,".NET, C#, HTML, Javascript, PHP",40000.0,48000.0,"['net', 'c#', 'html', 'javascript', 'php']"
c#,".NET, C#, HTML, Javascript, PHP",40000.0,48000.0,"['net', 'c#', 'html', 'javascript', 'php']"
html,".NET, C#, HTML, Javascript, PHP",40000.0,48000.0,"['net', 'c#', 'html', 'javascript', 'php']"
javascript,".NET, C#, HTML, Javascript, PHP",40000.0,48000.0,"['net', 'c#', 'html', 'javascript', 'php']"
php,".NET, C#, HTML, Javascript, PHP",40000.0,48000.0,"['net', 'c#', 'html', 'javascript', 'php']"
c,"Assembler, C, C++, Python",50000.0,55000.0,"['assembler', 'c', 'c++', 'python']"
c++,"Assembler, C, C++, Python",50000.0,55000.0,"['assembler', 'c', 'c++', 'python']"
python,"Assembler, C, C++, Python",50000.0,55000.0,"['assembler', 'c', 'c++', 'python']"
bash/shell,Bash/Shell,74144.0,95125.0,['bash/shell']
bash/shell,"Bash/Shell, Python",82000.0,100000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",82000.0,100000.0,"['bash/shell', 'python']"
java,Java,72000.0,90000.0,['java']
bash/shell,"Bash/Shell, Python",80000.0,105000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",80000.0,105000.0,"['bash/shell', 'python']"
bash/shell,Bash/Shell,57117.0,72300.0,['bash/shell']
sql,SQL,75000.0,90000.0,['sql']
bash/shell,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
html,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
java,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
javascript,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
php,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
python,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
typescript,"Bash/Shell, HTML, Java, Javascript, Perl, PHP, Python, TypeScript",75000.0,100000.0,"['bash/shell', 'html', 'java', 'javascript', 'perl', 'php', 'python', 'typescript']"
java,Java,67000.0,82000.0,['java']
bash/shell,"Bash/Shell, VBA",72000.0,92000.0,"['bash/shell', 'vba']"
vba,"Bash/Shell, VBA",72000.0,92000.0,"['bash/shell', 'vba']"
go,"Go, Javascript, Python, Ruby, TypeScript",130000.0,170200.0,"['go', 'javascript', 'python', 'ruby', 'typescript']"
javascript,"Go, Javascript, Python, Ruby, TypeScript",130000.0,170200.0,"['go', 'javascript', 'python', 'ruby', 'typescript']"
python,"Go, Javascript, Python, Ruby, TypeScript",130000.0,170200.0,"['go', 'javascript', 'python', 'ruby', 'typescript']"
ruby,"Go, Javascript, Python, Ruby, TypeScript",130000.0,170200.0,"['go', 'javascript', 'python', 'ruby', 'typescript']"
typescript,"Go, Javascript, Python, Ruby, TypeScript",130000.0,170200.0,"['go', 'javascript', 'python', 'ruby', 'typescript']"
css,"CSS, HTML, Javascript",49800.0,60000.0,"['css', 'html', 'javascript']"
html,"CSS, HTML, Javascript",49800.0,60000.0,"['css', 'html', 'javascript']"
javascript,"CSS, HTML, Javascript",49800.0,60000.0,"['css', 'html', 'javascript']"
javascript,Javascript,47875.0,54120.0,['javascript']
bash/shell,Bash/Shell,40000.0,65000.0,['bash/shell']
bash/shell,"Bash/Shell, Java",55000.0,65000.0,"['bash/shell', 'java']"
java,"Bash/Shell, Java",55000.0,65000.0,"['bash/shell', 'java']"
bash/shell,"Bash/Shell, Python",111000.0,165000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",111000.0,165000.0,"['bash/shell', 'python']"
bash/shell,"Bash/Shell, Python",80000.0,100000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",80000.0,100000.0,"['bash/shell', 'python']"
bash/shell,"Bash/Shell, HTML, Python",80000.0,106000.0,"['bash/shell', 'html', 'python']"
html,"Bash/Shell, HTML, Python",80000.0,106000.0,"['bash/shell', 'html', 'python']"
python,"Bash/Shell, HTML, Python",80000.0,106000.0,"['bash/shell', 'html', 'python']"
bash/shell,"Bash/Shell, PHP",44500.0,47000.0,"['bash/shell', 'php']"
php,"Bash/Shell, PHP",44500.0,47000.0,"['bash/shell', 'php']"
bash/shell,Bash/Shell,100000.0,150000.0,['bash/shell']
javascript,Javascript,93000.0,118000.0,['javascript']
javascript,"Javascript, PHP, SQL",50000.0,60240.96,"['javascript', 'php', 'sql']"
php,"Javascript, PHP, SQL",50000.0,60240.96,"['javascript', 'php', 'sql']"
sql,"Javascript, PHP, SQL",50000.0,60240.96,"['javascript', 'php', 'sql']"
python,"Python, R, Qlik",34500.0,40000.0,"['python', 'r', 'qlik']"
r,"Python, R, Qlik",34500.0,40000.0,"['python', 'r', 'qlik']"
swift,Swift,48000.0,50000.0,['swift']
go,"Go, HTML, Java, Kotlin, SQL",106000.0,149000.0,"['go', 'html', 'java', 'kotlin', 'sql']"
html,"Go, HTML, Java, Kotlin, SQL",106000.0,149000.0,"['go', 'html', 'java', 'kotlin', 'sql']"
java,"Go, HTML, Java, Kotlin, SQL",106000.0,149000.0,"['go', 'html', 'java', 'kotlin', 'sql']"
kotlin,"Go, HTML, Java, Kotlin, SQL",106000.0,149000.0,"['go', 'html', 'java', 'kotlin', 'sql']"
sql,"Go, HTML, Java, Kotlin, SQL",106000.0,149000.0,"['go', 'html', 'java', 'kotlin', 'sql']"
python,Python,95000.0,125000.0,['python']
css,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
html,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
java,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
javascript,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
python,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
sql,"CSS, HTML, Java, Javascript, Python, SQL",120000.0,190000.0,"['css', 'html', 'java', 'javascript', 'python', 'sql']"
net,".NET, HTML, Java, Javascript, SQL",41500.0,50000.0,"['net', 'html', 'java', 'javascript', 'sql']"
html,".NET, HTML, Java, Javascript, SQL",41500.0,50000.0,"['net', 'html', 'java', 'javascript', 'sql']"
java,".NET, HTML, Java, Javascript, SQL",41500.0,50000.0,"['net', 'html', 'java', 'javascript', 'sql']"
javascript,".NET, HTML, Java, Javascript, SQL",41500.0,50000.0,"['net', 'html', 'java', 'javascript', 'sql']"
sql,".NET, HTML, Java, Javascript, SQL",41500.0,50000.0,"['net', 'html', 'java', 'javascript', 'sql']"
php,PHP,102000.0,140000.0,['php']
html,"HTML, Javascript, PHP, SQL, TypeScript",34000.0,38000.0,"['html', 'javascript', 'php', 'sql', 'typescript']"
javascript,"HTML, Javascript, PHP, SQL, TypeScript",34000.0,38000.0,"['html', 'javascript', 'php', 'sql', 'typescript']"
php,"HTML, Javascript, PHP, SQL, TypeScript",34000.0,38000.0,"['html', 'javascript', 'php', 'sql', 'typescript']"
sql,"HTML, Javascript, PHP, SQL, TypeScript",34000.0,38000.0,"['html', 'javascript', 'php', 'sql', 'typescript']"
typescript,"HTML, Javascript, PHP, SQL, TypeScript",34000.0,38000.0,"['html', 'javascript', 'php', 'sql', 'typescript']"
javascript,"Javascript, PHP",55000.0,65000.0,"['javascript', 'php']"
php,"Javascript, PHP",55000.0,65000.0,"['javascript', 'php']"
c++,"C++, Perl, Python",65000.0,73000.0,"['c++', 'perl', 'python']"
python,"C++, Perl, Python",65000.0,73000.0,"['c++', 'perl', 'python']"
css,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
html,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
java,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
javascript,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
php,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
sql,"CSS, HTML, Java, Javascript, PHP, SQL",85000.0,100000.0,"['css', 'html', 'java', 'javascript', 'php', 'sql']"
net,".NET, Bash/Shell, Delphi, Go, HTML, Java, Javascript, PHP, Python, SQL",199000.0,240000.0,"['net', 'bash/shell', 'delphi', 'go', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
